sickle_address,tx_hash,block_date,block_time,block_number,log_index,address,token_id,liquidity_desired,actual_liquidity,amount0,amount1,pool
0xd806b7b98c47f831b967a3e0629c2b3ea8c4b238,0xb7dffc5fd4ac63f3dc90d841b5f5dd27dc41bd32a165bab5b3b74ad20a24f4c5,20-08-2025,2025-08-20 10:50:12.000 UTC,67359801,67,0x3fED017EC0f5517Cdf2E8a9a4156c64d74252146,322451,19010595753820111,19010595753820111,37503254343951989548,45901070,0x41100C6D2c6920B10d12Cd8D59c8A9AA2eF56fC7
0xc9f249baafcc20e7ec8ddf38113ebf6037daa737,0x28523d6540edd296675aff212b5f3131a6dccefdfc3fdddcff8d7e29154a7bc6,04-10-2025,2025-10-04 16:15:08.000 UTC,69764062,128,0x3fED017EC0f5517Cdf2E8a9a4156c64d74252146,730123,12388430128725159689,12388430128725159689,953904549626647081381,903539869,0x64B9B45DBf624d63D15C04c576fAF5C8366d0696
0xd806b7b98c47f831b967a3e0629c2b3ea8c4b238,0xe0ed7ffad9fb0c7f807efcbaf554a9783a76bd83b9046aa6c4dc8962235aab31,23-10-2025,2025-10-23 10:19:07.000 UTC,70776229,84,0x3fED017EC0f5517Cdf2E8a9a4156c64d74252146,977986,39297395945521712593,39297395945521712593,1385301870082650528976,2561065463,0x64B9B45DBf624d63D15C04c576fAF5C8366d0696
0x564e55eff176f52ad9c909025dc05f481192ee4b,0xab6c283a9823355a051607ea0e5d7ed8f8774df9cc0b1adef8aec92a1b32a848,24-08-2025,2025-08-24 20:38:00.000 UTC,67584645,83,0x3fED017EC0f5517Cdf2E8a9a4156c64d74252146,370111,9333880285341946,9333880285341946,325137974,23971973133158636063,0xC13Fd9599F0bEDd2dA2C307f35bC03ba54a64332
0x1c829a09ec10e3ea4d44797ca315039cec6ce903,0x604ecbc49b37ecf0c2c98277d9fff861d7a8e153b8c4c3fdaa6c4bb6735715fc,25-09-2025,2025-09-25 13:12:05.000 UTC,69275431,142,0x3fED017EC0f5517Cdf2E8a9a4156c64d74252146,650956,25751518523080,25751518523080,1796766108,3353357309,0x859592A4A469610E573f96Ef87A0e5565F9a94c8
0x1c829a09ec10e3ea4d44797ca315039cec6ce903,0x2fc8f07959c6f862b73920f86e52a3d9a8b1457f360195acc0503c2d635aa5e1,19-08-2025,2025-08-19 05:24:53.000 UTC,67295609,126,0x3fED017EC0f5517Cdf2E8a9a4156c64d74252146,306771,113554197954304,113554197954304,72418282,5605972412,0x859592A4A469610E573f96Ef87A0e5565F9a94c8
